Id BMI
11,72308
21,91549
32,21739
42,08824
52,14925
61,80882
72,04348
81,94286
91,67164
101,81818
111,92424
121,70149
131,83824
141,8209
151,70588
161,97183
171,95455
182,08824
191,92958
201,85075
212,10448
222,10294
231,53968
241,89706
252,10448
261,92537
272,02857
281,95522
291,63636
301,73846
311,49275
321,84615
331,86567
341,94286
351,97183
361,85507
372,13636
381,80597
391,95522
401,65625
411,82353
421,90769
432,01449
442,04478
451,63077
461,88235
472,19697
481,73134
492,07246
501,94203
512,13043
521,8806
531,78571
541,66667
551,89231
562,1
572,21429
581,93939
591,80303
601,98507
611,93939
621,98551
631,89706
641,91045
651,92857
661,60294
672,05797
681,97015
691,53731
701,85075
711,98462
721,91429
732,02899
741,59375
751,88235
761,81818
772,02941
782,03077
791,66667
801,8209
811,97059
821,83333
832,21429
841,93939
851,86957
862,01449
872,08955
881,87143
891,72857
901,92647
912
922,01429
931,97183
941,62319
951,9
961,87143
971,81818
981,95238
991,93939
1001,69118
1011,59375
1021,9403
1031,97059
1041,50769
1051,70149
1061,80882
1071,83582
1081,90909
1091,85507
1102,01587
1111,8209
1121,81429
1131,87143
1141,70769
1151,74286
1161,88235
1171,94118
1181,97101
1191,76923
1202
1211,83077
1221,62687
1231,85507
1241,98529
1251,58209
1261,89231
1271,65152
1281,77612
1292,05882
1301,9
1311,94118
1321,83099
1331,66667
1341,92188
1351,80282
1361,98529
1371,78462
1381,8806
1392,06849
1401,88406
1411,97101
1421,73846
1431,83824
1441,86765
1451,64615
1461,70588
1471,95588
1481,75
1491,91176
1502,01471
1511,81159
1522,0597
1531,81818
1542,12121
1551,88889
1561,65625
1572,25714
1581,61194
1591,91667
1601,76923
1612,1791
1621,70312
1632,01449
1641,75
1651,96923
1661,89552
1671,69118
1681,87879
1691,8806
1701,70769
1711,76812
1721,85075
1731,85075
1741,83077
1751,90411
1761,57576
1771,86364
1781,81538
1791,86154
1801,80303
1812,01493
1821,78462
1831,65152
1841,82353
1852,13636
1861,98462
1871,86765
1881,81818
1891,92424
1901,48529
1912,05714
1921,69231
1931,97015
1942,1791
1952,10145
1961,84615
1971,74242
1981,88235
1991,86765
2001,78873
